requirement_id,function_ids,interface_ids,configuration_ids,verification_ids,issue_ids,decision_ids,evidence_ids
REQ-001,"FUN-001;FUN-003;FUN-010","IF-002;IF-008","CFG-D1;CFG-D2;CFG-D3","VER-001;VER-003;VER-004;VER-007","","DEC-001","E-01;E-02;E-04;E-15"
REQ-002,"FUN-002;FUN-004","IF-003","CFG-D1;CFG-D3","VER-006","ISS-004","DEC-001","E-01;E-05;E-06;E-23"
REQ-003,"FUN-005;FUN-006","IF-004;IF-006","CFG-D2","VER-003;VER-004","ISS-002","DEC-002","E-03;E-04;E-05;E-23"
REQ-004,"FUN-008","IF-001","CFG-D1;CFG-D2","VER-002;VER-003","ISS-001","DEC-004","E-02;E-03;E-04;E-23"
REQ-005,"FUN-007","IF-007","CFG-D2","VER-003;VER-004","ISS-002","DEC-004","E-04;E-05"
REQ-006,"FUN-005;FUN-006","IF-005;IF-006","CFG-D2","VER-004","","DEC-001;DEC-002","E-05;E-23"
REQ-007,"FUN-009","IF-011","CFG-000;CFG-D1;CFG-D2;CFG-D3","","","DEC-007","E-23"
REQ-008,"FUN-011","IF-008;IF-010","CFG-D1;CFG-D2;CFG-D3","VER-001;VER-002;VER-003;VER-005;VER-006;VER-007","ISS-001;ISS-003;ISS-004","DEC-007;DEC-008","E-02;E-04;E-06;E-07"
REQ-009,"FUN-012","IF-010","CFG-D2;CFG-D3","VER-003","ISS-002","DEC-003","E-05;E-12"
REQ-010,"FUN-011;FUN-012","IF-010","CFG-D3;CFG-G1","VER-007;VER-008","","DEC-005","E-03;E-06;E-07;E-10"
REQ-011,"FUN-003;FUN-004;FUN-011","IF-009","CFG-D1;CFG-G1","VER-002;VER-008","ISS-001","DEC-001","E-02;E-09;E-10"
REQ-012,"FUN-010","IF-008;IF-006;IF-007","CFG-D2;CFG-D3;CMP-G3X","VER-004;VER-007","","DEC-001","E-07;E-08;E-15"
REQ-013,"FUN-007;FUN-011","IF-007;IF-010","CFG-D1;CFG-D2;CFG-D3;CFG-G1;CMP-G3X","VER-001;VER-003;VER-007;VER-008","ISS-001;ISS-002;ISS-003;ISS-004","DEC-006;DEC-007","E-04;E-08;E-09;E-10;E-11;E-12"
REQ-014,"FUN-011;FUN-012","IF-001;IF-002;IF-003;IF-004;IF-005;IF-006;IF-007;IF-008;IF-009;IF-010;IF-011","CFG-000;CFG-D1;CFG-D2;CFG-D3;CFG-G1;CMP-G3X","VER-001;VER-002;VER-003;VER-004;VER-005;VER-006;VER-007;VER-008","ISS-001;ISS-002;ISS-003;ISS-004","DEC-007;DEC-008","E-01;E-02;E-03;E-04;E-05;E-06;E-07;E-08;E-09;E-23"
