function_id,function_name,level,public_description,configuration_scope,evidence_ids
FUN-001,Acquire flight-state information,L1,"Acquire air-data and attitude/heading information required for cockpit functions","Common need; implementation configuration-specific","E-01;E-06;E-09;E-23"
FUN-002,Acquire engine/airframe information,L1,"Acquire engine/airframe measurements required for cockpit indication","Common need; implementation configuration-specific","E-01;E-05;E-06;E-09;E-23;E-24"
FUN-003,Present primary flight information,L1,"Present primary flight information to the pilot/instructor","Dynon observed; Garmin documented generically","E-01;E-09;E-15"
FUN-004,Present engine/airframe information,L1,"Present required engine/airframe information","Dynon observed; Garmin function documented generically","E-01;E-06;E-09"
FUN-005,Integrate NAV/COM and retained avionics,L1,"Interoperate with navigation, communication, transponder and retained aircraft functions as applicable","Configuration-specific","E-03;E-04;E-05;E-09;E-23"
FUN-006,Provide audio and alerting integration,L1,"Route/coordinate required communication audio and avionics alerts","Configuration-specific","E-05;E-09"
FUN-007,Manage software settings and databases,L1,"Load, preserve and restore settings and required terrain/navigation/configuration data","Dynon directly evidenced; Garmin configuration concept documented","E-03;E-04;E-05;E-11"
FUN-008,Integrate aircraft electrical power and protection,L1,"Supply retrofit equipment from the aircraft electrical system with appropriate protection and acceptable operational behaviour","Aircraft-level","E-02;E-03;E-04;E-23"
FUN-009,Integrate physical installation and modification harness,L1,"Integrate panels/equipment and the complete wiring-harness change associated with the retrofit","Aircraft-level; detailed routes withheld","E-23;E-24"
FUN-010,Provide pilot/instructor HMI,L1,"Provide controls, information distribution, maps/alerts and training-operational interaction","Configuration-specific","E-01;E-07;E-08;E-15"
FUN-011,Verify installed aircraft and close discrepancies,L1,"Execute installed checks/flight evaluation, capture discrepancies, disposition changes and re-test","Aircraft-level","E-02;E-04;E-06;E-07"
FUN-012,Support maintenance and OEM lifecycle loop,L1,"Support spares, LRU replacement/repair, configuration restoration and OEM technical coordination","Lifecycle","E-05;E-12"
