source_id,relation,target_id,evidence_ids,notes
STK-001,drives,REQ-001,"E-01;E-15","flight-information need"
STK-001,drives,REQ-012,"E-07;E-08;E-15","HMI/training need"
STK-003,drives,REQ-009,"E-05;E-12","supportability need"
REQ-001,allocated_to,FUN-001,"E-01;E-15","flight-state acquisition"
REQ-001,allocated_to,FUN-003,"E-01;E-15","primary-flight presentation"
REQ-002,allocated_to,FUN-002,"E-01;E-06;E-23;E-24","engine/airframe acquisition"
REQ-002,allocated_to,FUN-004,"E-01;E-06","engine/airframe presentation"
REQ-003,allocated_to,FUN-005,"E-03;E-04;E-05","NAV/COM integration"
REQ-004,allocated_to,FUN-008,"E-02;E-23","aircraft electrical integration"
REQ-005,allocated_to,FUN-007,"E-04;E-05","settings/database management"
REQ-007,allocated_to,FUN-009,"E-23;E-24","physical/harness integration"
REQ-008,allocated_to,FUN-011,"E-02;E-04;E-06;E-07","installed V&V"
REQ-009,allocated_to,FUN-012,"E-05;E-12","maintenance/OEM support"
FUN-001,interfaces_via,IF-002,"E-01;E-06;E-09","flight-state data"
FUN-002,interfaces_via,IF-003,"E-01;E-06;E-09;E-24","engine/airframe data"
FUN-005,interfaces_via,IF-004,"E-03;E-04;E-05","Dynon retained-navigation data path"
FUN-005,interfaces_via,IF-005,"E-05","retained transponder"
FUN-006,interfaces_via,IF-006,"E-05","audio/alerts"
FUN-007,interfaces_via,IF-007,"E-03;E-04;E-05","configuration data"
FUN-008,interfaces_via,IF-001,"E-02;E-23","aircraft power"
FUN-009,interfaces_via,IF-011,"E-23;E-24","physical/harness"
CFG-D1,verified_by,VER-001,"E-02","early installed flight"
CFG-D1,raises_issue,ISS-001,"E-02","display/power discrepancy"
ISS-001,followed_by,VER-003,"E-04","replacement/reconfiguration and re-flight"
CFG-D2,verified_by,VER-003,"E-04","return to flight"
CFG-D2,raises_issue,ISS-002,"E-04;E-05","configuration restoration"
CFG-D3,raises_issue,ISS-003,"E-06","ADAHRS behaviour"
CFG-D3,raises_issue,ISS-004,"E-06","PTT-associated engine indication"
CFG-D3,validated_by,VER-007,"E-07","customer-evaluation sorties"
CFG-G1,reviewed_by,VER-008,"E-09;E-10;E-11","architecture/configuration review"
CMP-G3X,supported_by,E-08,"E-08","comparison evidence only"
REQ-004,has_risk,RSK-001,"E-02;E-04;E-23","aircraft power/transient integration"
REQ-005,has_risk,RSK-002,"E-04;E-05","configuration restoration after LRU replacement"
REQ-002,has_risk,RSK-003,"E-06","cross-domain radio/engine-indication interaction"
REQ-008,has_risk,RSK-004,"E-06","high-dynamic attitude-reference behaviour"
REQ-003,has_risk,RSK-005,"E-03;E-04;E-05;E-23","retained-avionics interoperability"
REQ-009,has_risk,RSK-006,"E-05;E-12","supportability/AOG exposure"
RSK-001,observed_in,ISS-001,"E-02","power/internal-voltage-related discrepancy"
RSK-002,controlled_by,DEC-004,"E-04;E-05","restore settings/databases before re-test"
RSK-003,observed_in,ISS-004,"E-06","PTT-associated engine-indication fluctuation"
RSK-004,observed_in,ISS-003,"E-06","high-rate attitude/ADAHRS observation"
RSK-005,controlled_by,DEC-002,"E-03;E-04;E-05","retained-navigation interface decision"
RSK-006,controlled_by,DEC-003,"E-05;E-12","spares/OEM support concept"
CLM-001,supported_by,E-02,"E-02","installed-flight evidence"
CLM-003,supported_by,E-04,"E-04","replacement/reconfiguration and return to flight"
CLM-004,supported_by,E-08,"E-08","G3X comparison identity"
CLM-005,supported_by,E-09,"E-09","generic Garmin architecture boundary"
CLM-006,supported_by,E-07,"E-07","customer-evaluation activity"
CLM-007,supported_by,E-06,"E-06","ADAHRS observation"
CLM-008,supported_by,E-06,"E-06","PTT/engine-indication observation"
CLM-009,supported_by,E-23,"E-23","period design record"
CLM-009,supported_by,E-24,"E-24","programme-lead executed-scope statement"
CLM-010,supported_by,E-16,"E-16","80-aircraft later programme sequence"
CLM-011,supported_by,E-25,"E-25","programme-lead Lead Systems Engineer role statement"
CLM-012,supported_by,E-17,"E-17","Nigeria commercial-context estimate"
CLM-012,supported_by,E-18,"E-18","Türkiye commercial-context report"
DEC-006,controls,CFG-G1,"E-08;E-09;E-10;E-11","separate Garmin family identity"
DEC-006,controls,CMP-G3X,"E-08","comparison only"
DEC-008,controls,ISS-003,"E-06","closure not invented"
DEC-008,controls,ISS-004,"E-06","closure not invented"
