interface_id,function_ids,source,target,interface_class,configuration_scope,evidence_state,public_description,evidence_ids
IF-001,"FUN-008",Aircraft electrical system,Retrofit avionics,Electrical,"Dynon evidenced; aircraft-level need common","Observed / derived","Aircraft power/protection interface; detailed wiring values intentionally omitted","E-02;E-03;E-04;E-23"
IF-002,"FUN-001;FUN-003",Flight-state sensing,Glass display functions,Sensor/data,"Dynon observed; Garmin generic reference","Observed / documented","Air-data and attitude/heading information to pilot display functions","E-01;E-06;E-09;E-23"
IF-003,"FUN-002;FUN-004",Engine/airframe sensing,Engine/airframe display functions,Sensor/data,"Dynon observed; Garmin generic reference","Observed / documented","Engine/airframe measurement path to cockpit indication","E-01;E-05;E-06;E-09;E-23"
IF-004,"FUN-005",Retained navigation source,SkyView via avionics interface,Digital avionics,"CFG-D2","Observed","Navigation-data integration path on Dynon track; pin-level detail omitted","E-03;E-04;E-05"
IF-005,"FUN-005",Retained transponder,Retrofit interface,Digital/discrete,"CFG-D2","Observed / integration activity","Transponder interoperability assessed; converter/pin details withheld","E-05"
IF-006,"FUN-006",Glass-cockpit alerts / communication audio,Aircraft audio path,Audio,"Dynon","Observed / integration activity","Audio/alert integration assessed against aircraft audio path","E-05"
IF-007,"FUN-007",Configuration / terrain / navigation data,Glass displays,Configuration data,"CFG-D2;CFG-D3","Observed","Settings/database loading and restoration across display/configuration changes","E-03;E-04;E-05"
IF-008,"FUN-010",Pilot / instructor,Glass cockpit,HMI,"Dynon observed; G3X comparison criteria","Observed / comparative","Display/control/alert interaction in training and test operation","E-01;E-07;E-08;E-15"
IF-009,"FUN-001;FUN-002;FUN-003;FUN-004;FUN-005",Garmin G900X/G950 LRUs,GDU / integrated-flight-deck functions,Digital avionics network,"CFG-G1 generic OEM reference","Documented","Generic OEM relationship only; not asserted as exact aircraft wiring","E-09;E-10"
IF-010,"FUN-012",Maintenance / OEM support,Installed configuration,Lifecycle/support,"Dynon directly evidenced; Garmin generic maintainability","Observed / documented","Repair, spare-LRU, configuration and technical-support loop","E-03;E-05;E-09;E-12"
IF-011,"FUN-009",Retrofit equipment / sensors,Aircraft physical installation,Physical/harness,"Aircraft-level","Derived from period project record","Panel/equipment integration and complete modification-harness change; routes/connectors withheld","E-23"
