requirement_id,category,retrospective_requirement,basis,verification_method,evidence_ids
REQ-001,Flight information,"The modified cockpit shall provide primary flight information in installed-aircraft operation.","Purpose of glass-cockpit retrofit and installed-flight evidence","Installed functional check and flight test","E-01;E-02;E-04;E-15"
REQ-002,Engine/airframe information,"The modified cockpit shall present required engine/airframe information from the revised sensor/monitoring chain.","Prototype cockpit scope and EMS-related engineering exchanges","Ground functional check and flight observation","E-01;E-05;E-06"
REQ-003,NAV/COM integration,"Retained navigation/communication equipment shall interoperate with the glass-cockpit functions required by the selected configuration.","GNS 430-family and ARINC integration exchanges","Interface check and installed-aircraft functional test","E-03;E-04;E-05"
REQ-004,Electrical integration,"The retrofit avionics shall operate from the aircraft electrical system with appropriate protection and acceptable behaviour during aircraft operation.","Display/internal-voltage failure and subsequent troubleshooting","Power checks, functional test and re-flight","E-02;E-03;E-04"
REQ-005,Configuration management,"Replacement or changed avionics LRUs shall allow controlled restoration of software, settings and required databases.","Replacement-display configuration and database exchanges","Configuration restore check and functional re-test","E-04;E-05"
REQ-006,Legacy avionics interfaces,"Required retained transponder/audio/other avionics functions shall be assessed for interface compatibility with the retrofit.","Transponder and audio-interface engineering exchanges","Bench/installed interface check as applicable","E-05"
REQ-007,Installed verification,"The integrated retrofit configuration shall be verified on the aircraft and discrepancies shall be fed back into engineering resolution.","Repeated prototype and customer-evaluation flight activity","Ground/flight test with discrepancy closure","E-02;E-04;E-06;E-07"
REQ-008,Maintainability,"The selected architecture shall have a defined maintenance/spares/support concept appropriate to fleet operation.","OEM maintainability and repair-depth exchanges","Supportability review","E-05"
REQ-009,Qualification/certification,"Qualification and certification suitability shall be assessed separately from functional capability for the intended aircraft/customer context.","DO-160/TSO/type-certification discussions","Documentation/acceptance review","E-03;E-06;E-07;E-10"
REQ-010,Failure response,"Candidate architectures shall be assessed for display/LRU failure response and redundancy/reversion where applicable.","Garmin G900X/G950 reference architecture and G950 evaluation material","Architecture review and applicable functional test","E-09;E-10"
REQ-011,HMI/training suitability,"Display, map, synthetic-vision, alerting and information-distribution behaviour shall be assessed in the training-aircraft operating context.","Synthetic-vision/terrain/audio discussions and in-flight evidence","Pilot/test feedback and flight evaluation","E-03;E-05;E-15"
REQ-012,Configuration identity,"Engineering and verification evidence shall be tied to an identified prototype/configuration state.","Multiple Dynon/Garmin candidates and changing hardware/software/database states","Configuration audit / evidence trace","E-04;E-08;E-09;E-10;E-11;E-12"
